1,1,10000000000000000000000000000000000000000,endl
1,2,10000000000000000000000000000000000000000,endl
1,3,388781010,endl
1,4,0,endl
1,5,0,endl
1,6,2.8514857E-022,endl
1,7,0,endl
2,3,10000000000000000000000000000000000000000,endl
2,4,10000000000000000000000000000000000000000,endl
2,5,7.0407055E-022,endl
2,6,0.8067,endl
2,7,3.0415848E-021,endl
2,8,0.1191,endl
2,9,0,endl
2,10,1.5207924E-021,endl
3,3,0,endl
3,4,0,endl
3,5,3.7092497E-022,endl
3,6,10000000000000000000000000000000000000000,endl
3,7,10000000000000000000000000000000000000000,endl
3,8,0.8399,endl
3,9,0.1783,endl
3,10,0,endl
3,11,0.00875,endl
3,12,0,endl
3,13,0,endl
4,5,0,endl
4,6,4.9591056E-021,endl
4,7,4598208,endl
4,8,8.1909823E-017,endl
4,9,10000000000000000000000000000000000000000,endl
4,10,47650919000000,endl
4,11,13.76,endl
4,12,0.0213,endl
4,13,2.7E-021,endl
4,14,0.00435,endl
4,15,7.8661675E-022,endl
4,16,5.7029714E-022,endl
4,17,0,endl
4,18,0,endl
4,19,0,endl
5,6,0,endl
5,7,5.6958516E-022,endl
5,8,0.77,endl
5,9,8.4488466E-019,endl
5,10,10000000000000000000000000000000000000000,endl
5,11,10000000000000000000000000000000000000000,endl
5,12,0.0202,endl
5,13,0.01733,endl
5,14,0.0125,endl
5,15,0.00993,endl
5,16,1.9E-010,endl
5,17,0.00508,endl
5,18,0,endl
5,19,0,endl
5,20,0,endl
5,21,0,endl
6,8,1.9836422E-021,endl
6,9,0.1265,endl
6,10,19.29,endl
6,11,1221.84,endl
6,12,10000000000000000000000000000000000000000,endl
6,13,10000000000000000000000000000000000000000,endl
6,14,179874330000,endl
6,15,2.449,endl
6,16,0.747,endl
6,17,0.193,endl
6,18,0.092,endl
6,19,0,endl
6,20,0.014,endl
6,21,0,endl
6,22,0.0061,endl
6,23,0,endl
6,24,0,endl
6,25,0,endl
6,26,0,endl
7,10,0,endl
7,11,5.4968399E-022,endl
7,12,0.011,endl
7,13,597.9,endl
7,14,10000000000000000000000000000000000000000,endl
7,15,10000000000000000000000000000000000000000,endl
7,16,7.13,endl
7,17,4.173,endl
7,18,0.624,endl
7,19,0.271,endl
7,20,0.13,endl
7,21,0.084,endl
7,22,0.024,endl
7,23,0.0141,endl
7,24,0.000000052,endl
7,25,0,endl
8,12,1.1405943E-021,endl
8,13,0.00858,endl
8,14,70.606,endl
8,15,122.24,endl
8,16,10000000000000000000000000000000000000000,endl
8,17,10000000000000000000000000000000000000000,endl
8,18,10000000000000000000000000000000000000000,endl
8,19,26.88,endl
8,20,13.51,endl
8,21,3.42,endl
8,22,2.25,endl
8,23,0.082,endl
8,24,0.065,endl
8,25,0,endl
8,26,4.5E-012,endl
8,27,0,endl
8,28,0,endl
9,14,5.0136013E-022,endl
9,15,4.5623772E-022,endl
9,16,1.1405943E-020,endl
9,17,64.49,endl
9,18,6586.2,endl
9,19,10000000000000000000000000000000000000000,endl
9,20,11.07,endl
9,21,4.158,endl
9,22,4.23,endl
9,23,2.23,endl
9,24,0.39,endl
9,25,0.08,endl
9,26,0.0097,endl
9,27,0.005,endl
9,28,4.6E-020,endl
